Date/Time,leaf_number,leaf_position,current,power,voltage,,condition,current,power,voltage
Sat Nov 23 12:24:39 2019,zero,nan,1.27,16.94,13.27,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:40 2019,zero,nan,1.27,16.93,13.26,,normal,1.21,16.61,13.68
Sat Nov 23 12:24:41 2019,zero,nan,1.28,17.07,13.27,,normal,1.21,16.61,13.68
Sat Nov 23 12:24:42 2019,zero,nan,1.28,17.05,13.29,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:43 2019,zero,nan,1.28,17.07,13.25,,normal,1.21,16.61,13.68
Sat Nov 23 12:24:44 2019,zero,nan,1.27,16.94,13.28,,normal,1.21,16.61,13.68
Sat Nov 23 12:24:45 2019,zero,nan,1.28,17.07,13.27,,normal,1.21,16.62,13.67
Sat Nov 23 12:24:46 2019,zero,nan,1.28,17.05,13.27,,normal,1.22,16.74,13.69
Sat Nov 23 12:24:47 2019,zero,nan,1.27,16.93,13.29,,normal,1.22,16.74,13.69
Sat Nov 23 12:24:48 2019,zero,nan,1.28,17.07,13.26,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:49 2019,zero,nan,1.28,17.07,13.25,,normal,1.21,16.61,13.67
Sat Nov 23 12:24:50 2019,zero,nan,1.29,17.19,13.26,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:51 2019,zero,nan,1.29,17.18,13.25,,normal,1.2,16.48,13.68
Sat Nov 23 12:24:52 2019,zero,nan,1.29,17.18,13.27,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:53 2019,zero,nan,1.29,17.19,13.25,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:54 2019,zero,nan,1.3,17.31,13.26,,normal,1.2,16.48,13.7
Sat Nov 23 12:24:55 2019,zero,nan,1.29,17.19,13.27,,normal,1.21,16.61,13.71
Sat Nov 23 12:24:56 2019,zero,nan,1.29,17.19,13.27,,normal,1.21,16.62,13.69
Sat Nov 23 12:24:57 2019,zero,nan,1.29,17.19,13.29,,normal,1.22,16.74,13.7
Sat Nov 23 12:24:58 2019,zero,nan,1.29,17.2,13.27,,normal,1.21,16.61,13.7
Sat Nov 23 12:24:59 2019,zero,nan,1.28,17.07,13.27,,normal,1.2,16.49,13.68
Sat Nov 23 12:25:00 2019,zero,nan,1.28,17.07,13.27,,normal,1.21,16.61,13.68
Sat Nov 23 12:25:01 2019,zero,nan,1.28,17.08,13.26,,normal,1.21,16.62,13.67
Sat Nov 23 12:25:02 2019,zero,nan,1.29,17.2,13.25,,normal,1.21,16.62,13.67
Sat Nov 23 12:25:03 2019,zero,nan,1.29,17.19,13.26,,normal,1.21,16.62,13.68
Sat Nov 23 12:25:04 2019,zero,nan,1.28,17.08,13.29,,normal,1.21,16.62,13.71
Sat Nov 23 12:25:05 2019,zero,nan,1.29,17.2,13.28,,normal,1.21,16.61,13.68
Sat Nov 23 12:25:06 2019,zero,nan,1.29,17.19,13.26,,normal,1.22,16.75,13.68
Sat Nov 23 12:25:07 2019,zero,nan,1.29,17.19,13.27,,normal,1.21,16.61,13.69
Sat Nov 23 12:25:08 2019,zero,nan,1.29,17.19,13.26,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:09 2019,zero,nan,1.29,17.19,13.29,,normal,1.21,16.62,13.69
Sat Nov 23 12:25:10 2019,zero,nan,1.29,17.19,13.28,,normal,1.2,16.49,13.68
Sat Nov 23 12:25:11 2019,zero,nan,1.29,17.19,13.26,,normal,1.22,16.75,13.7
Sat Nov 23 12:25:12 2019,zero,nan,1.29,17.2,13.29,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:13 2019,zero,nan,1.29,17.2,13.26,,normal,1.22,16.75,13.7
Sat Nov 23 12:25:14 2019,zero,nan,1.3,17.33,13.26,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:15 2019,zero,nan,1.28,17.07,13.29,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:16 2019,zero,nan,1.3,17.33,13.28,,normal,1.21,16.62,13.68
Sat Nov 23 12:25:17 2019,zero,nan,1.29,17.19,13.28,,normal,1.21,16.61,13.72
Sat Nov 23 12:25:18 2019,zero,nan,1.29,17.19,13.27,,normal,1.22,16.75,13.7
Sat Nov 23 12:25:19 2019,zero,nan,1.3,17.31,13.27,,normal,1.22,16.77,13.69
Sat Nov 23 12:25:20 2019,zero,nan,1.3,17.33,13.27,,normal,1.21,16.62,13.68
Sat Nov 23 12:25:21 2019,zero,nan,1.3,17.33,13.29,,normal,1.21,16.62,13.71
Sat Nov 23 12:25:22 2019,zero,nan,1.3,17.33,13.28,,normal,1.22,16.75,13.71
Sat Nov 23 12:25:23 2019,zero,nan,1.3,17.31,13.25,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:24 2019,zero,nan,1.3,17.33,13.25,,normal,1.22,16.75,13.7
Sat Nov 23 12:25:25 2019,zero,nan,1.29,17.2,13.27,,normal,1.22,16.75,13.7
Sat Nov 23 12:25:26 2019,zero,nan,1.3,17.33,13.3,,normal,1.22,16.75,13.67
Sat Nov 23 12:25:27 2019,zero,nan,1.31,17.45,13.27,,normal,1.22,16.75,13.68
Sat Nov 23 12:25:28 2019,zero,nan,1.31,17.45,13.26,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:29 2019,zero,nan,1.3,17.31,13.29,,normal,1.22,16.77,13.71
Sat Nov 23 12:25:30 2019,zero,nan,1.31,17.45,13.29,,normal,1.22,16.75,13.71
Sat Nov 23 12:25:31 2019,zero,nan,1.3,17.33,13.27,,normal,1.22,16.75,13.67
Sat Nov 23 12:25:32 2019,zero,nan,1.31,17.45,13.27,,normal,1.23,16.88,13.71
Sat Nov 23 12:25:33 2019,zero,nan,1.3,17.33,13.29,,normal,1.23,16.88,13.7
Sat Nov 23 12:25:34 2019,zero,nan,1.31,17.45,13.28,,normal,1.22,16.75,13.69
Sat Nov 23 12:25:35 2019,zero,nan,1.32,17.58,13.28,,normal,1.23,16.88,13.69
Sat Nov 23 12:25:36 2019,zero,nan,1.31,17.47,13.27,,normal,1.24,17.01,13.72
Sat Nov 23 12:25:37 2019,zero,nan,1.31,17.45,13.26,,normal,1.23,16.88,13.72
Sat Nov 23 12:25:38 2019,zero,nan,1.32,17.58,13.3,,normal,1.23,16.89,13.7
Sat Nov 23 12:25:39 2019,zero,nan,1.31,17.45,13.25,,normal,1.23,16.89,13.71
Sat Nov 23 12:25:40 2019,zero,nan,1.31,17.45,13.26,,normal,1.23,16.89,13.69
Sat Nov 23 12:25:41 2019,zero,nan,1.32,17.58,13.27,,normal,1.23,16.88,13.7
Sat Nov 23 12:25:42 2019,zero,nan,1.32,17.58,13.28,,normal,1.23,16.88,13.71
Sat Nov 23 12:25:43 2019,zero,nan,1.32,17.58,13.27,,normal,1.24,17.01,13.71
Sat Nov 23 12:25:44 2019,zero,nan,1.32,17.58,13.27,,normal,1.24,17.02,13.69
Sat Nov 23 12:25:45 2019,zero,nan,1.32,17.58,13.27,,normal,1.23,16.88,13.68
Sat Nov 23 12:25:46 2019,zero,nan,1.32,17.59,13.27,,normal,1.24,17.02,13.69
Sat Nov 23 12:25:47 2019,zero,nan,1.33,17.69,13.28,,normal,1.24,17.01,13.71
Sat Nov 23 12:25:48 2019,zero,nan,1.31,17.45,13.27,,normal,1.25,17.14,13.71
Sat Nov 23 12:25:49 2019,zero,nan,1.32,17.58,13.27,,normal,1.25,17.15,13.71
Sat Nov 23 12:25:50 2019,zero,nan,1.32,17.58,13.25,,normal,1.24,17.15,13.73
Sat Nov 23 12:25:51 2019,zero,nan,1.33,17.7,13.28,,normal,1.25,17.14,13.69
Sat Nov 23 12:25:52 2019,zero,nan,1.33,17.72,13.3,,normal,1.25,17.15,13.71
Sat Nov 23 12:25:53 2019,zero,nan,1.33,17.7,13.29,,normal,1.25,17.15,13.71
Sat Nov 23 12:25:54 2019,zero,nan,1.33,17.7,13.28,,normal,1.25,17.15,13.72
Sat Nov 23 12:25:55 2019,zero,nan,1.32,17.59,13.27,,normal,1.25,17.15,13.69
Sat Nov 23 12:25:56 2019,zero,nan,1.33,17.72,13.27,,normal,1.25,17.28,13.73
Sat Nov 23 12:25:57 2019,zero,nan,1.33,17.72,13.28,,normal,1.26,17.28,13.67
Sat Nov 23 12:25:58 2019,zero,nan,1.34,17.84,13.28,,normal,1.26,17.28,13.69
Sat Nov 23 12:25:59 2019,zero,nan,1.33,17.72,13.27,,normal,1.26,17.28,13.7
Sat Nov 23 12:26:00 2019,zero,nan,1.33,17.7,13.27,,normal,1.27,17.41,13.71
Sat Nov 23 12:26:02 2019,zero,nan,1.33,17.72,13.3,,normal,1.27,17.41,13.71
Sat Nov 23 12:26:03 2019,zero,nan,1.33,17.72,13.28,,normal,1.26,17.28,13.71
Sat Nov 23 12:26:04 2019,zero,nan,1.34,17.84,13.3,,normal,1.27,17.54,13.74
Sat Nov 23 12:26:05 2019,zero,nan,1.33,17.7,13.29,,normal,1.28,17.54,13.69
Sat Nov 23 12:26:06 2019,zero,nan,1.34,17.84,13.28,,normal,1.27,17.41,13.69
Sat Nov 23 12:26:07 2019,zero,nan,1.34,17.84,13.27,,normal,1.27,17.54,13.71
Sat Nov 23 12:26:08 2019,zero,nan,1.34,17.86,13.3,,normal,1.26,17.41,13.74
Sat Nov 23 12:26:09 2019,zero,nan,1.34,17.84,13.29,,normal,1.28,17.54,13.69
Sat Nov 23 12:26:10 2019,zero,nan,1.34,17.84,13.29,,normal,1.28,17.54,13.7
Sat Nov 23 12:26:11 2019,zero,nan,1.34,17.84,13.29,,normal,1.28,17.54,13.68
Sat Nov 23 12:26:12 2019,zero,nan,1.34,17.84,13.28,,normal,1.28,17.67,13.71
Sat Nov 23 12:26:13 2019,zero,nan,1.34,17.84,13.29,,normal,1.28,17.54,13.7
Sat Nov 23 12:26:14 2019,zero,nan,1.33,17.72,13.29,,normal,1.28,17.67,13.73
Sat Nov 23 12:26:15 2019,zero,nan,1.33,17.72,13.28,,normal,1.28,17.67,13.72
Sat Nov 23 12:26:16 2019,zero,nan,1.34,17.84,13.3,,normal,1.28,17.67,13.71
Sat Nov 23 12:26:17 2019,zero,nan,1.33,17.72,13.28,,normal,1.28,17.67,13.72
Sat Nov 23 12:26:18 2019,zero,nan,1.34,17.84,13.26,,normal,1.27,17.54,13.71
Sat Nov 23 12:26:19 2019,zero,nan,1.34,17.83,13.28,,normal,1.28,17.67,13.71
Sat Nov 23 12:26:20 2019,zero,nan,1.34,17.84,13.29,,normal,1.29,17.68,13.71
Sat Nov 23 12:26:21 2019,zero,nan,1.35,17.97,13.29,,normal,1.28,17.55,13.71
Sat Nov 23 12:26:22 2019,zero,nan,1.34,17.84,13.27,,normal,1.28,17.54,13.7
Sat Nov 23 12:26:23 2019,zero,nan,1.34,17.84,13.29,,normal,1.29,17.68,13.7
Sat Nov 23 12:26:24 2019,zero,nan,1.34,17.84,13.31,,normal,1.29,17.68,13.71
Sat Nov 23 12:26:25 2019,zero,nan,1.34,17.84,13.29,,normal,1.29,17.8,13.71
