Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 11:04:32 2019,partial_shading,0.22,23.29,102.17,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:33 2019,partial_shading,0.23,23.66,102.26,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:34 2019,partial_shading,0.23,23.78,101.86,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:35 2019,partial_shading,0.23,24.18,101.94,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:36 2019,partial_shading,0.24,24.65,102.02,,full_shading,0.20,2.72,13.49
Thu Nov 21 11:04:37 2019,partial_shading,0.23,23.91,101.9,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:38 2019,partial_shading,0.24,25.27,102.17,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:39 2019,partial_shading,0.23,24.03,102.38,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:40 2019,partial_shading,0.24,24.67,101.64,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:04:41 2019,partial_shading,0.24,24.65,101.59,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:04:42 2019,partial_shading,0.23,24.16,101.52,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:43 2019,partial_shading,0.24,24.16,99,,full_shading,0.20,2.72,13.52
Thu Nov 21 11:04:44 2019,partial_shading,0.24,24.28,99.02,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:45 2019,partial_shading,0.25,24.78,98.74,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:46 2019,partial_shading,0.23,23.16,98.79,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:47 2019,partial_shading,0.23,22.77,98.73,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:04:48 2019,partial_shading,0.22,22.4,98.64,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:49 2019,partial_shading,0.22,22.03,98.56,,full_shading,0.20,2.73,13.51
