Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 12:50:01 2019,normal,1.21,16.34,13.47,,dust,1.03,14.31,13.81
Tue Nov 26 12:50:02 2019,normal,1.15,15.59,13.5,,dust,1.02,14.18,13.82
Tue Nov 26 12:50:03 2019,normal,1.12,15.21,13.48,,dust,1.04,14.44,13.8
Tue Nov 26 12:50:04 2019,normal,1.15,15.58,13.47,,dust,1.03,14.31,13.8
Tue Nov 26 12:50:05 2019,normal,1.13,15.34,13.47,,dust,1.05,14.57,13.78
Tue Nov 26 12:50:06 2019,normal,1.17,15.85,13.47,,dust,1.04,14.44,13.81
Tue Nov 26 12:50:07 2019,normal,1.16,15.72,13.46,,dust,1.03,14.31,13.8
Tue Nov 26 12:50:08 2019,normal,1.2,16.23,13.49,,dust,1.05,14.57,13.81
Tue Nov 26 12:50:09 2019,normal,1.21,16.35,13.48,,dust,1.04,14.45,13.8
Tue Nov 26 12:50:10 2019,normal,1.18,15.97,13.46,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:11 2019,normal,1.11,15.08,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:12 2019,normal,1.18,15.96,13.49,,dust,1.02,14.18,13.82
Tue Nov 26 12:50:13 2019,normal,1.17,15.83,13.48,,dust,1.04,14.45,13.8
Tue Nov 26 12:50:14 2019,normal,1.22,16.48,13.5,,dust,1.03,14.32,13.83
Tue Nov 26 12:50:15 2019,normal,1.19,16.1,13.49,,dust,1.04,14.45,13.8
Tue Nov 26 12:50:16 2019,normal,1.17,15.85,13.47,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:17 2019,normal,1.22,16.48,13.47,,dust,1.04,14.45,13.81
Tue Nov 26 12:50:18 2019,normal,1.16,15.72,13.46,,dust,1.05,14.57,13.81
Tue Nov 26 12:50:19 2019,normal,1.21,16.34,13.46,,dust,1.05,14.58,13.83
Tue Nov 26 12:50:20 2019,normal,1.13,15.34,13.53,,dust,1.04,14.44,13.83
Tue Nov 26 12:50:21 2019,normal,1.15,15.59,13.51,,dust,1.03,14.31,13.79
Tue Nov 26 12:50:22 2019,normal,1.12,15.08,13.47,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:23 2019,normal,1.1,14.96,13.51,,dust,1.04,14.45,13.84
Tue Nov 26 12:50:24 2019,normal,1.11,14.96,13.44,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:25 2019,normal,1.23,16.59,13.47,,dust,1.05,14.57,13.84
Tue Nov 26 12:50:26 2019,normal,1.11,15.08,13.51,,dust,1.05,14.57,13.81
Tue Nov 26 12:50:27 2019,normal,1.2,16.23,13.49,,dust,1.04,14.44,13.81
Tue Nov 26 12:50:28 2019,normal,1.15,15.59,13.47,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:29 2019,normal,1.11,15.08,13.49,,dust,1.04,14.45,13.84
Tue Nov 26 12:50:30 2019,normal,1.2,16.34,13.51,,dust,1.03,14.32,13.83
Tue Nov 26 12:50:31 2019,normal,1.09,14.83,13.49,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:32 2019,normal,1.17,15.85,13.51,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:33 2019,normal,1.19,16.1,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:34 2019,normal,1.18,15.96,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:35 2019,normal,1.17,15.85,13.49,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:36 2019,normal,1.19,16.1,13.47,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:37 2019,normal,1.11,15.07,13.49,,dust,1.03,14.32,13.84
Tue Nov 26 12:50:38 2019,normal,1.11,15.08,13.49,,dust,1.03,14.32,13.83
Tue Nov 26 12:50:39 2019,normal,1.2,16.23,13.48,,dust,1.04,14.45,13.82
Tue Nov 26 12:50:40 2019,normal,1.21,16.35,13.49,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:41 2019,normal,1.1,14.83,13.47,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:42 2019,normal,1.2,16.23,13.47,,dust,1.03,14.31,13.83
Tue Nov 26 12:50:43 2019,normal,1.14,15.46,13.48,,dust,1.04,14.44,13.83
Tue Nov 26 12:50:44 2019,normal,1.15,15.59,13.49,,dust,1.03,14.31,13.83
Tue Nov 26 12:50:45 2019,normal,1.1,14.96,13.5,,dust,1.02,14.19,13.8
Tue Nov 26 12:50:46 2019,normal,1.1,14.83,13.48,,dust,1.03,14.31,13.83
Tue Nov 26 12:50:47 2019,normal,1.13,15.34,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:48 2019,normal,1.21,16.35,13.5,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:49 2019,normal,1.19,16.09,13.49,,dust,1.02,14.18,13.84
Tue Nov 26 12:50:50 2019,normal,1.17,15.85,13.49,,dust,1.04,14.45,13.84
Tue Nov 26 12:50:51 2019,normal,1.1,14.96,13.49,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:52 2019,normal,1.13,15.34,13.5,,dust,1.03,14.32,13.82
Tue Nov 26 12:50:53 2019,normal,1.14,15.46,13.5,,dust,1.03,14.31,13.81
Tue Nov 26 12:50:54 2019,normal,1.12,15.21,13.49,,dust,1.04,14.44,13.82
Tue Nov 26 12:50:55 2019,normal,1.11,15.08,13.5,,dust,1.03,14.31,13.84
Tue Nov 26 12:50:56 2019,normal,1.21,16.35,13.49,,dust,1.03,14.32,13.83
Tue Nov 26 12:50:57 2019,normal,1.2,16.23,13.48,,dust,1.04,14.45,13.81
Tue Nov 26 12:50:58 2019,normal,1.13,15.34,13.47,,dust,1.03,14.31,13.82
Tue Nov 26 12:50:59 2019,normal,1.14,15.46,13.5,,dust,1.04,14.45,13.8
Tue Nov 26 12:51:00 2019,normal,1.18,15.97,13.44,,dust,1.03,14.32,13.82
Tue Nov 26 12:51:01 2019,normal,1.22,16.48,13.49,,dust,1.04,14.45,13.84
Tue Nov 26 12:51:02 2019,normal,1.21,16.35,13.48,,dust,1.03,14.32,13.83
Tue Nov 26 12:51:03 2019,normal,1.11,15.08,13.49,,dust,1.03,14.32,13.82
Tue Nov 26 12:51:04 2019,normal,1.12,15.2,13.46,,dust,1.04,14.45,13.82
Tue Nov 26 12:51:05 2019,normal,1.11,15.08,13.51,,dust,1.03,14.31,13.81
Tue Nov 26 12:51:06 2019,normal,1.11,14.96,13.46,,dust,1.04,14.45,13.83
