Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:42:32 2019,normal,0.72,68.3,94.87,,water,0.66,37.49,56.26
Mon Nov 25 13:42:33 2019,normal,0.72,68.57,94.82,,water,0.65,37.1,56.24
Mon Nov 25 13:42:34 2019,normal,0.75,71.15,94.61,,water,0.64,36.2,56.13
Mon Nov 25 13:42:35 2019,normal,0.71,68.39,95.21,,water,0.64,36.07,56.11
Mon Nov 25 13:42:36 2019,normal,0.71,68.12,95.21,,water,0.65,36.59,55.57
Mon Nov 25 13:42:37 2019,normal,0.71,68.25,95.22,,water,0.65,36.46,55.57
Mon Nov 25 13:42:38 2019,normal,0.71,68.03,95.17,,water,0.63,35.4,55.43
Mon Nov 25 13:42:39 2019,normal,0.71,68.12,95.2,,water,0.62,34.65,55.4
Mon Nov 25 13:42:40 2019,normal,0.71,68.17,95.19,,water,0.63,35.14,55.3
Mon Nov 25 13:42:41 2019,normal,0.71,68.12,95.2,,water,0.64,36.17,55.96
Mon Nov 25 13:42:42 2019,normal,0.71,68.3,95.19,,water,0.62,35.14,55.79
Mon Nov 25 13:42:43 2019,normal,0.71,68.25,95.21,,water,0.62,35.01,56.07
Mon Nov 25 13:42:44 2019,normal,0.71,68.12,95.19,,water,0.64,36.04,56.31
Mon Nov 25 13:42:45 2019,normal,0.71,67.98,95.18,,water,0.65,37.2,57.17
Mon Nov 25 13:42:46 2019,normal,0.71,67.98,95.18,,water,0.63,36.43,57.16
Mon Nov 25 13:42:47 2019,normal,0.71,68.12,95.19,,water,0.63,36.3,57.27
Mon Nov 25 13:42:48 2019,normal,0.71,68.03,95.19,,water,0.62,36.07,57.29
Mon Nov 25 13:42:50 2019,normal,0.71,67.98,95.19,,water,0.61,35.14,57.28
Mon Nov 25 13:42:51 2019,normal,0.71,68.12,95.19,,water,0.6,34.91,57.51
Mon Nov 25 13:42:52 2019,normal,0.71,68.39,95.21,,water,0.61,35.37,57.53
Mon Nov 25 13:42:53 2019,normal,0.71,68.03,95.19,,water,0.6,34.62,57.51
Mon Nov 25 13:42:54 2019,normal,0.71,68.03,95.2,,water,0.6,34.88,57.56
Mon Nov 25 13:42:55 2019,normal,0.7,66.9,94.42,,water,0.59,34.1,57.52
Mon Nov 25 13:42:56 2019,normal,0.71,67.71,94.82,,water,0.59,34.49,57.5
Mon Nov 25 13:42:57 2019,normal,0.71,67.85,95.18,,water,0.59,34.1,57.5
