Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 12:39:35 2019,normal,2.28,204.44,89.42,,normal,2.3,196.84,85.24
Thu Nov 21 12:39:36 2019,normal,2.28,204.28,89.42,,normal,2.3,196.15,85.23
Thu Nov 21 12:39:37 2019,normal,2.34,209.52,89.17,,normal,2.3,196.43,85.24
Thu Nov 21 12:39:38 2019,normal,2.28,204.16,89.1,,normal,2.28,196.02,85.78
Thu Nov 21 12:39:39 2019,normal,2.26,204.16,89.75,,normal,2.29,196.3,85.54
Thu Nov 21 12:39:40 2019,normal,2.26,203.36,89.76,,normal,2.3,196.3,85.25
Thu Nov 21 12:39:41 2019,normal,2.26,203.64,89.73,,normal,2.3,196.71,85.22
Thu Nov 21 12:39:42 2019,normal,2.26,203.1,89.75,,normal,2.29,196.43,85.53
Thu Nov 21 12:39:43 2019,normal,2.26,203.64,89.75,,normal,2.27,196.3,86.1
Thu Nov 21 12:39:44 2019,normal,2.26,203.64,89.72,,normal,2.27,196.3,86.13
Thu Nov 21 12:39:45 2019,normal,2.26,203.22,89.73,,normal,2.31,198.63,85.87
Thu Nov 21 12:39:46 2019,normal,2.26,203.22,89.74,,normal,2.27,196.3,86.36
Thu Nov 21 12:39:47 2019,normal,2.24,203.36,90.38,,normal,2.28,196.43,86.07
Thu Nov 21 12:39:48 2019,normal,2.24,203.22,90.71,,normal,2.28,196.43,86.09
Thu Nov 21 12:39:49 2019,normal,2.24,203.36,90.71,,normal,2.28,196.43,86.12
Thu Nov 21 12:39:50 2019,normal,2.24,203.1,90.38,,normal,2.27,196.43,86.34
Thu Nov 21 12:39:51 2019,normal,2.24,202.84,90.36,,normal,2.27,194.1,85.14
Thu Nov 21 12:39:52 2019,normal,2.24,202.84,90.37,,normal,2.31,196.3,84.91
Thu Nov 21 12:39:53 2019,normal,2.24,202.94,90.38,,normal,2.31,196.43,84.98
Thu Nov 21 12:39:54 2019,normal,2.22,201.76,90.36,,normal,2.3,196.29,85.25
Thu Nov 21 12:39:55 2019,normal,2.24,202.84,90.38,,normal,2.31,196.3,84.97
Thu Nov 21 12:39:56 2019,normal,2.24,202.42,90.34,,normal,2.31,195.89,84.68
Thu Nov 21 12:39:57 2019,normal,2.24,202.42,90.35,,normal,2.31,195.75,84.66
Thu Nov 21 12:39:58 2019,normal,2.22,202.14,90.36,,normal,2.32,196.16,84.37
Thu Nov 21 12:39:59 2019,normal,2.22,201.34,90.34,,normal,2.28,196.43,86.05
